sentence,sentiment,char_length,word_count
The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,neutral,115,20
The veneer and plywood industry in Sweden is quite small despite the raw material resources .,neutral,93,16
The writing and publication of Lemmink+inen - s history is a continuation of earlier collaboration between Antti Tuuri and the company .,neutral,136,22
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral,296,44
"They re in a race with Google to get lots of users onto their service as social networking creates new business models , said Martin Garner , a London-based analyst with CCS Insight .",neutral,183,34
Through this transaction we are able to participate in developing the industry .,positive,80,13
"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",neutral,92,19
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,89,20
UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,positive,154,26
Uponor maintains its full-year guidance for 2010 .,neutral,50,8
"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",neutral,104,19
"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",neutral,185,35
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,neutral,95,18
"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board .",positive,82,17
Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .,neutral,104,19
What would you like to see changed on Nokia 's next attempt ?,neutral,61,13
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",neutral,83,14
"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .",neutral,92,19
"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",neutral,168,26
You are warmly welcome !,neutral,24,5
Approval by shareholders of Cencorp in accordance with Finnish law .,neutral,68,11
"Tikkurila has an interesting growth strategy , which we support .",neutral,65,11
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,153,31
"`` As a part of the Eseries business promise , the Nokia E50 has been equipped with a variety of email solutions in a small and stylised package , '' said Dave Grannan , general manager , Enterprise Solutions , Nokia .",neutral,218,42
"`` As defences mature , attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing , screen shots , video captures , keylogging and injection of form fields .",neutral,264,43
`` I warmly welcome Michael Frei to Outotec .,positive,45,9
`` Nokia is just interested in bring Nokia to the market . '',neutral,61,13
`` Our aim is to understand different traffic patterns based on the use of each building .,neutral,90,17
`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development .,neutral,129,23
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,neutral,95,13
`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,neutral,146,23
"`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group .",positive,149,26
"`` The bond gathered subscriptions from some 400 investors and the issued amount can be considered substantial taking into account the main target group -- retail investors , '' Citycon CFO Eero Sihvonen said .",neutral,210,35
`` The CHF is a great product .,positive,31,8
"`` The industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for Web-based service to your wireless handset , '' he wrote .",neutral,206,37
"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",positive,212,38
"`` Tom Doring has a long and successful career in the drives business , and he knows the American market .",neutral,106,21
`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,neutral,138,26
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,neutral,126,21
6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,neutral,219,35
A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,neutral,68,12
"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",neutral,164,25
A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,positive,126,22
A PLUMBING business has announced it is sponsoring a professional darts player .,neutral,80,13
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",neutral,105,21
Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,neutral,114,19
"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .",positive,151,25
"After piloting , the instrument will be further developed according to the experiences gained .",neutral,95,15
"And when it has lifted the veil on the various types of customer for which it designs its phones , the result is social stereotyping taken to a fine art .",neutral,154,31
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,neutral,120,21
As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .,neutral,148,24
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,94,13
"At a press conference , Lattelecom board chairman Nils Melngailis explained that Blackstone had been chosen for its experience in the IT sector as well as its financial strength .",positive,179,30
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",neutral,134,26
"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila .",neutral,195,34
"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",neutral,111,20
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,neutral,94,17
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,neutral,110,17
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,neutral,177,27
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",neutral,167,32
Customers in a wide range of industries use our stainless steel and services worldwide .,neutral,88,15
"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th .",neutral,164,27
Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,neutral,169,30
"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",neutral,95,19
Europe needs 17 new large paper machines .,neutral,42,8
Exel wants to serve its industrial customers with individual products .,neutral,71,11
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",neutral,214,39
"Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab .",neutral,166,30
"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",positive,219,38
"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .",negative,255,52
From Merisatama to the far corners of the world Asfaltti Osakeyhti+ Lemmink+inen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,neutral,191,31
"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral,175,27
"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",neutral,164,27
"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however .",positive,107,17
He is resting comfortably and is looking forward to getting back to work . '',neutral,77,15
"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",neutral,138,25
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",neutral,93,18
"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",neutral,209,38
"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",neutral,159,27
"In Finland , Martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance .",neutral,158,26
"In Penttil+ 's vision , the most important reason for the transaction is Russia .",neutral,81,15
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,104,24
"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",neutral,100,21
"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",neutral,140,26
"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",neutral,168,31
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,neutral,100,19
"It also has strong assets in electronic media , employing 18,500 an increase of 9 percent on last year .",positive,104,20
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,neutral,117,24
"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",neutral,208,36
"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",neutral,150,30
"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",neutral,181,32
It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .,neutral,124,19
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",neutral,103,16
"It s an area that is highly valued , because most of the land there has already been built on .",neutral,95,21
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,neutral,100,17
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",neutral,126,24
The fine print is here .,neutral,24,6
M. and a Master of Business Administration MBA .,neutral,48,9
Martela is a front runner in providing innovative solutions and customer service Martela designs and supplies interior solutions for working environments and public spaces .,neutral,173,25
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,neutral,134,24
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,120,23
NetCom expects to complete Turbo 3G deployment in these areas this year .,neutral,73,13
"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",neutral,169,33
"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",neutral,193,28
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",positive,115,22
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",neutral,181,31
"On the other hand , Finnish sawmills ' production has decreased even more .",negative,75,14
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive,128,23
"One of the opportunities would be to bring all Baltic meat processing to Rakvere , like processing was concentrated at the Vantaa meat-packing unit in Finland , the paper wrote .",neutral,178,31
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral,161,26
"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",neutral,160,28
"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima .",neutral,179,32
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,neutral,79,13
Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .,neutral,164,25
Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .,neutral,178,27
Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .,neutral,160,25
Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,neutral,172,25
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,neutral,162,25
Pharmaceuticals - Spain This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Spain .,neutral,160,25
"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data .",neutral,169,28
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,neutral,109,17
"Rapala VMC Corporation Rapala , a leading fishing tackle and sporting goods manufacturer and distributor , is the main owner of Peltonen with its 80 % shareholding .",neutral,165,28
"Reporting in accordance with the merged business operations will start as of January 1 , 2011 .",neutral,95,17
RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .,neutral,115,22
Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,neutral,105,21
Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,neutral,161,20
"S Group 's loyal customer magazine Yhteishyv+ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers .",neutral,175,26
"SCOPI Chief Business Excellence Officer , Eng .",neutral,47,8
"Seppala transferred the sale to a greater extent than last year to February , and this is reflected on the January sales figures .",neutral,130,24
Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',neutral,113,18
"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots .",neutral,189,38
"Tekla 's defense business employs over 20 persons and is located in Espoo , Finland .",neutral,85,16
"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",neutral,188,34
The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .,positive,108,17
The aim is to develop open-source application solutions .,neutral,57,9
"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million .",neutral,109,23
"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .",neutral,261,48
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",neutral,157,33
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,neutral,96,18
"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below .",neutral,122,22
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",neutral,275,52
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",neutral,218,32
"The company had earlier said that it was considering different strategic options for the struggling low-cost mobile operator , including a divestment of its holding .",neutral,166,26
The company had hoped the new plant would be on stream by the end of 2008 .,neutral,75,17
"The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities .",neutral,248,38
The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,neutral,125,21
"The company said Offshore segment represented 43 % of the total marine engines orders for the July-September 2010 period , Merchant 33 % , Special vessels 18 % , and Cruise and Ferry , and Ship Design -- 2 % and 3 % , respectively .",neutral,232,46
"The company said production volumes so far indicate the circuit is capable of the targeted output rate of 60,000 tonnes per day , or 22 million tonnes a year .",neutral,159,30
"The company said that currently the French distribution unit Ragot is located in Loudeac , Normandy , the distribution unit Waterqueen and line supplier Tortue in Saint Marcel in mid-France and the hook manufacturing unit VMC and hook distribution unit VMC Europe in Morvillars .",neutral,279,45
"The construction of a large woodworking facility in the Sheksna district of the Vologda Region , in northwest Russia , will begin in 2009 , and the plant will start production in 2011 .",neutral,185,34
"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",neutral,110,21
"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .",neutral,216,33
"The contracts awarded to date , in connection with the system , amount to a total EUR 36 million .",neutral,98,20
The corrected chapter is in its entirety below .,neutral,48,9
The deal strengthens Ramirent 's position especially in the industrial sector and in large investment projects .,positive,112,17
The deal was worth about EUR 1.2 mn .,neutral,37,9
"The device offers multimedia performance along with a host of productivity applications , including live stock prices .",neutral,119,18
The event can also be viewed as a live audio webcast at www.ahlstrom.com .,neutral,74,14
The event can also be viewed as a live webcast at www.cargotec.com .,neutral,68,13
The first charging stations will be made available already in 2008 and a whole network is to be ready in 2010 .,neutral,111,22
The GeoSolutions team further provides an intriguing new technology combining GPS and Mobile-based technologies together with Internet-based social networking .,neutral,160,20
The investment will be worth approximately EUR 100mn .,neutral,54,9
The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .,neutral,129,18
"The most important export markets are Norway , Germany , Russia and France .",neutral,76,14
"The most loyal customers were found in the Bank of +land , with an index of 8.0 .",positive,81,18
"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .",neutral,266,48
"The Nokia Music Store begins trading on Tuesday , selling singles and albums as well as live music streaming .",neutral,110,20
The number of customers is one of the most important parameters in determining the price of electricity networks .,neutral,114,19
The order was valued at over EUR15m .,neutral,37,8
The order was valued at USD12 .2 m.,neutral,35,8
The order was worth EUR 8mn .,neutral,29,7
The organization that is a member of the Russian auto sector union MPRA has become active since Tikkurila acquired Russian paint company Kraski Teks in 2006 .,neutral,158,27
"The outsourced Scan and Capture solutions transfer paper invoices into electronic format , and Basware Business Transactions Service allows the customer to receive and send invoices in an electronic format .",neutral,207,31
"The parties have also agreed that L+nnen Tehtaat has the right to sell the remaining shares in Suomen Rehu to Hankkija-Maatalous 15 months after the purchase of the majority holding , at the earliest .",neutral,201,35
The pipeline is strong .,positive,24,5
The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,neutral,163,30
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,184,34
"The record date for dividend distribution is March 14 , 2008 .",neutral,62,12
"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices .",neutral,210,32
The second-quarter net sales are expected to be on par with the first quarter of 2009 .,neutral,87,17
"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier .",positive,138,24
The solid fuel is heated before sludge is mixed therein . '',neutral,60,12
"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .",neutral,169,24
"The total donation amount is EUR 1,115,000 .",neutral,44,8
"The total investment necessary will be EUR40m , the company estimated .",neutral,71,12
The total project duration is three years and it is valued at some EUR11 .5 m.,neutral,78,16
"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m .",neutral,107,22
The uranium found locally is naturally occurring and it makes sense to extract it in the same way as we do with our other metals . '',neutral,133,27
"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",positive,108,22
"They are responsible for their own operations , customer relationships , and the development of these .",neutral,103,17
"This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : .",neutral,161,29
This is the first time Finnair has been awarded an agreement with the UK government .,positive,85,16
This organization will assume the responsibility for operations in Russia .,neutral,75,11
Three students from Universiti Sains Malaysia have won a study trip to Helsinki .,neutral,81,14
"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",neutral,98,19
"Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 , the company added .",neutral,101,21
Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .,neutral,131,20
"To achieve synergy targets related to the acquisition , Vaisala is consolidating its manufacturing , depot and data services , and finance activities currently located in Uniontown , Pennsylvania , St. Louis , Missouri and Durham , North Carolina .",neutral,248,40
To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .,neutral,142,22
"To see more of New Haven Register , or to subscribe to the newspaper .",neutral,70,15
"To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications .",neutral,186,27
"Today , we are connecting people in new and different ways - fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them .",neutral,178,31
Together they generate Aspo 's goodwill .,neutral,41,7
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",neutral,142,26
UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .,neutral,96,14
UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .,positive,80,12
UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .,positive,96,13
UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .,positive,78,10
"UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products .",neutral,152,22
"Wayne Greensmith , Fiskars Brands UK senior brand manager , said : `` We have launched this as we want to give something back to the community .",neutral,144,28
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",positive,146,24
"We can choose the most efficient , best overall value option for our customers already at the bidding stage .",positive,109,20
We make available the following brand-new market analyses : Cement - UK Cement - Poland Cement - Belgium These analyses give a clear overview of the actual situation and future outlook of the cement industry in some European countries .,neutral,236,40
We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,neutral,259,42
"We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .",neutral,132,22
"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .",neutral,120,27
"Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .",neutral,171,31
"When new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .",neutral,245,42
"When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat .",positive,148,29
"Via the plant , the Belgian company will feed 8.4 MW of electricity into the distribution grid and will be able to deliver up to 14 MW of heat .",neutral,144,30
Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe .,positive,140,26
"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",neutral,158,25
"A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration .",neutral,197,38
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",negative,209,39
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",negative,190,35
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",negative,130,22
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",negative,69,17
"Several large stocks tacked lower , however .",negative,45,8
"The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago .",positive,118,24
Sales of mid-strength beer decreased by 40 % .,negative,46,9
"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",negative,203,32
Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity .,positive,214,34
EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .,positive,181,31
"Under a memorandum of understanding MoU the parties will collaborate in preparing and implementing joint projects in the fields of combined power and heat generation , environmental protection and energy efficient technologies .",positive,228,33
"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''",positive,102,19
"The seminar introduced modern , clean technologies and products , financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in Vietnam .",positive,204,32
"Proving that good cellphone design is truly a work of art , the website for the Nokia 6131 provides a colorful canvas for the expression of mobile-inspired sentiments .",positive,168,29
"`` Following last year 's good profit development , we have entered the current year in a good position .",positive,105,20
"HELSINKI (Thomson Financial)- Kemira GrowHow swung into profit in its first quarter earnings on improved sales , especially in its fertilizer business in Europe , which is normally stronger during the first quarter .",positive,216,34
"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .",positive,203,39
"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .",positive,222,42
It will focus on improving its profitability next year by streamlining operations .,positive,83,13
"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .",positive,138,22
Mr Lee said he hoped that Neste 's move will ` pave the way for more collaboration projects between our two countries ' .,positive,121,24
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive,137,25
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,positive,105,18
"The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings .",positive,114,19
"The developers of that project predict that once it is completed in April 2009 , Skanssi will attract some 4.5 million visitors annually .",positive,138,24
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,218,32
"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",positive,142,29
"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",positive,129,21
ABB Deutsche Bank upgraded its recommendation on Swiss-Swedish engineering group ABB Ltd. to ` Buy ' from ` Hold ' .,positive,116,21
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",positive,116,23
"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",positive,101,19
`` Our design team has long admired Marimekko 's vivid patterns and colors .,positive,76,14
"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday .",positive,156,30
`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',positive,115,22
"`` We are proud to welcome another distribution facility to north Mississippi and the region known as the logistics center of the United States , '' said Gray Swoope , executive director of MDA .",positive,195,35
"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .",positive,172,34
A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .,positive,175,27
